Song,Singer,Year,Word,Token,Coda,F1_25,F2_25,Duration,Intensity,Pitch,Preceding_Segment,Coda_Type,Raising
Blow Me (One Last Kiss),Pink,2011,might,aj,t,964,1778,0.11,87.04,1262,Yes,stop,1
Blow Me (One Last Kiss),Pink,2011,fight,aj,t,753,1583,0.22,82.3,82.95,Yes,stop,1
Blow Me (One Last Kiss),Pink,2011,might,aj,t,1149,2272,0.13,86.69,593.5,Yes,stop,1
The Truth About Love,Pink,2011,about,aw,t,879,1823,0.17,79.97,217,Yes,stop,1
The Truth About Love,Pink,2011,out,aw,t,780,1980,0.23,83.04,925,Yes,stop,1
The Truth About Love,Pink,2011,about,aw,t,879,1818,0.21,83.19,689,Yes,stop,1
The Truth About Love,Pink,2011,eyes,aj,z,957,1773,0.21,82.31,394,No,fric,0
The Truth About Love,Pink,2011,about,aw,t,856,1790,0.2,83.29,565,Yes,stop,1
The Truth About Love,Pink,2011,about,aw,t,974,1856,0.19,84.22,622,Yes,stop,1
The Truth About Love,Pink,2011,about,aw,t,807,1962,0.2,82.35,594,Yes,stop,1
The Truth About Love,Pink,2011,goodbyes,aj,z,1088,1997,0.52,84.83,1002,Yes,fric,0
The Truth About Love,Pink,2011,goodbyes,aj,z,1156,1875,0.59,84.12,887,Yes,fric,0
The Truth About Love,Pink,2011,inside,aj,d,1234,1804,0.26,82.75,349,No,stop,0
